n,repetition,seed,method,dimension,runtime_seconds,status,error,timing_scope
800,7,21161421,nLOCO,50,207.23768870905042,SUCCESS,,evaluate_only
800,7,21161421,dLOCO,50,324.04600528022274,SUCCESS,,evaluate_only
800,7,21161421,OT,50,26.927089591976255,SUCCESS,,evaluate_only
800,7,21161421,EOT,50,25.75596051895991,SUCCESS,,evaluate_only
800,7,21161421,FDFI,50,75.29760743118823,SUCCESS,,evaluate_only
800,7,21161421,SHAP,10,1502.7011240459979,SUCCESS,,evaluate_only
1000,7,21161421,CPI,50,163.77200665976852,SUCCESS,,evaluate_only
1000,7,21161421,LOCO,50,99.83381439512596,SUCCESS,,evaluate_only
1000,7,21161421,nLOCO,50,208.49247643258423,SUCCESS,,evaluate_only
1000,7,21161421,dLOCO,50,404.66466330876574,SUCCESS,,evaluate_only
1000,7,21161421,OT,50,34.71333738276735,SUCCESS,,evaluate_only
1000,7,21161421,EOT,50,34.656356619205326,SUCCESS,,evaluate_only
1000,7,21161421,FDFI,50,91.19035540195182,SUCCESS,,evaluate_only
1000,7,21161421,SHAP,10,1634.643830951769,SUCCESS,,evaluate_only
200,8,21161521,CPI,50,87.56170669104904,SUCCESS,,evaluate_only
200,8,21161521,LOCO,50,101.60594732873142,SUCCESS,,evaluate_only
200,8,21161521,nLOCO,50,206.10888639092445,SUCCESS,,evaluate_only
200,8,21161521,dLOCO,50,122.82610278995708,SUCCESS,,evaluate_only
200,8,21161521,OT,50,6.542714172042906,SUCCESS,,evaluate_only
200,8,21161521,EOT,50,4.790782727766782,SUCCESS,,evaluate_only
200,8,21161521,FDFI,50,25.933979395311326,SUCCESS,,evaluate_only
200,8,21161521,SHAP,10,1493.2261047977954,SUCCESS,,evaluate_only
400,8,21161521,CPI,50,104.57701977295801,SUCCESS,,evaluate_only
400,8,21161521,LOCO,50,102.57107144966722,SUCCESS,,evaluate_only
400,8,21161521,nLOCO,50,212.1352548371069,SUCCESS,,evaluate_only
